time,,values
11:21:39,40896.81,246
11:21:39,40896.81,233
11:21:39,40896.81,182
11:21:39,40896.81,50
11:21:39,40896.81,-102
11:21:39,40896.81,-114
11:21:39,40896.81,-135
11:21:39,40896.81,-111
11:21:39,40896.81,-226
11:21:39,40896.81,-220
11:21:39,40896.81,-235
11:21:39,40896.81,-132
11:21:39,40896.81,33
11:21:39,40896.81,417
11:21:39,40896.81,784
11:21:39,40896.81,1117
11:21:39,40896.81,1147
11:21:39,40896.81,849
11:21:39,40896.81,403
11:21:39,40896.81,-99
11:21:39,40896.81,-351
11:21:39,40896.81,-463
11:21:39,40896.81,-416
11:21:39,40896.81,-361
11:21:39,40896.81,-317
11:21:39,40896.81,-177
11:21:39,40896.81,-136
11:21:39,40896.81,-46
11:21:39,40896.81,-94
11:21:39,40896.81,-43
11:21:39,40896.81,-135
11:21:39,40896.81,-61
11:21:39,40896.81,13
11:21:39,40896.81,160
11:21:39,40896.81,172
11:21:39,40896.81,198
11:21:39,40896.81,213
11:21:39,40896.81,263
11:21:39,40896.81,269
11:21:39,40896.81,302
11:21:39,40896.81,278
11:21:39,40896.81,250
11:21:39,40896.81,182
11:21:39,40896.81,85
11:21:39,40896.81,-84
11:21:39,40896.81,-160
11:21:39,40896.81,-216
11:21:39,40896.81,-167
11:21:39,40896.81,-169
11:21:39,40896.81,-72
11:21:39,40896.81,-114
11:21:39,40896.81,-83
11:21:39,40896.81,-182
11:21:39,40896.81,-94
11:21:39,40896.81,-147
11:21:39,40896.81,-91
11:21:39,40896.81,-113
11:21:39,40896.81,-97
11:21:39,40896.81,-176
11:21:39,40896.81,-118
11:21:39,40896.81,-130
11:21:39,40896.81,-10
11:21:39,40896.81,-81
11:21:39,40896.81,-16
11:21:39,40896.81,-60
11:21:39,40896.81,-31
11:21:39,40896.81,-38
11:21:39,40896.81,50
11:21:39,40896.81,2
11:21:39,40896.81,30
11:21:39,40896.81,-80
11:21:39,40896.81,9
11:21:39,40896.81,-26
11:21:39,40896.81,110
11:21:39,40896.81,169
11:21:39,40896.81,261
11:21:39,40896.81,233
11:21:39,40896.81,226
11:21:39,40896.81,185
11:21:39,40896.81,134
11:21:39,40896.81,-16
11:21:39,40896.81,-69
11:21:39,40896.81,-182
11:21:39,40896.81,-204
11:21:39,40896.81,-283
11:21:39,40896.81,-288
11:21:39,40896.81,-305
11:21:39,40896.81,-273
11:21:39,40896.81,-65
11:21:39,40896.81,403
11:21:39,40896.81,836
11:21:39,40896.81,1146
11:21:39,40896.81,1023
11:21:40,40896.81,714
11:21:40,40896.81,214
11:21:40,40896.81,-149
11:21:40,40896.81,-392
11:21:40,40896.81,-448
11:21:40,40896.81,-452
11:21:40,40896.81,-387
11:21:40,40896.81,-290
11:21:40,40896.81,-196
11:21:40,40896.81,-108
11:21:40,40896.81,-122
11:21:40,40896.81,-174
11:21:40,40896.81,-124
11:21:40,40896.81,-128
11:21:40,40896.81,17
11:21:40,40896.81,24
11:21:40,40896.81,133
11:21:40,40896.81,138
11:21:40,40896.81,159
11:21:40,40896.81,159
11:21:40,40896.81,188
11:21:40,40896.81,199
11:21:40,40896.81,238
11:21:40,40896.81,211
11:21:40,40896.81,197
11:21:40,40896.81,123
11:21:40,40896.81,47
11:21:40,40896.81,-28
