"
time",,values
11:24:42,41082.98,62
11:24:42,41082.99,192
11:24:42,41083.00,462
11:24:43,41083.01,648
11:24:43,41083.02,494
11:24:43,41083.03,217
11:24:43,41083.04,35
11:24:43,41083.05,4
11:24:43,41083.06,-56
11:24:43,41083.07,-130
11:24:43,41083.08,-155
11:24:43,41083.09,-131
11:24:43,41083.10,-118
11:24:43,41083.11,-165
11:24:43,41083.12,-271
11:24:43,41083.13,-367
11:24:43,41083.14,-410
11:24:43,41083.15,-412
11:24:43,41083.16,-377
11:24:43,41083.17,-320
11:24:43,41083.18,-254
11:24:43,41083.19,-210
11:24:43,41083.20,-199
11:24:43,41083.21,-170
11:24:43,41083.22,-128
11:24:43,41083.23,-73
11:24:43,41083.24,4
11:24:43,41083.25,70
11:24:43,41083.26,115
11:24:43,41083.27,79
11:24:43,41083.28,29
11:24:43,41083.29,8
11:24:43,41083.30,54
11:24:43,41083.31,114
11:24:43,41083.32,146
11:24:43,41083.33,138
11:24:43,41083.34,107
11:24:43,41083.35,49
11:24:43,41083.36,3
11:24:43,41083.37,-15
11:24:43,41083.38,-3
11:24:43,41083.39,-8
11:24:43,41083.40,-46
11:24:43,41083.41,-86
11:24:43,41083.42,-121
11:24:43,41083.43,-132
11:24:43,41083.44,-114
11:24:43,41083.45,-52
11:24:43,41083.46,48
11:24:43,41083.47,121
11:24:43,41083.48,149
11:24:43,41083.49,124
11:24:43,41083.50,97
11:24:43,41083.51,93
11:24:43,41083.52,106
11:24:43,41083.53,119
11:24:43,41083.54,111
11:24:43,41083.55,46
11:24:43,41083.56,-19
11:24:43,41083.57,-66
11:24:43,41083.58,-38
11:24:43,41083.59,26
11:24:43,41083.60,81
11:24:43,41083.61,120
11:24:43,41083.62,100
11:24:43,41083.63,37
11:24:43,41083.64,-48
11:24:43,41083.65,-100
11:24:43,41083.66,-90
11:24:43,41083.67,-66
11:24:43,41083.68,-63
11:24:43,41083.69,-76
11:24:43,41083.70,-96
11:24:43,41083.71,11
11:24:43,41083.72,371
11:24:43,41083.73,696
11:24:43,41083.74,701
11:24:43,41083.75,434
11:24:43,41083.76,188
11:24:43,41083.77,124
11:24:43,41083.78,52
11:24:43,41083.79,-45
11:24:43,41083.80,-128
11:24:43,41083.81,-176
11:24:43,41083.81,-179
11:24:43,41083.82,-190
11:24:43,41083.84,-230
11:24:43,41083.84,-276
11:24:43,41083.86,-285
11:24:43,41083.86,-266
11:24:43,41083.88,-223
11:24:43,41083.88,-179
11:24:43,41083.89,-166
11:24:43,41083.90,-182
11:24:43,41083.91,-234
11:24:43,41083.92,-269
11:24:43,41083.93,-257
11:24:43,41083.95,-207
11:24:43,41083.95,-133
11:24:43,41083.96,-55
11:24:43,41083.97,19
11:24:43,41083.98,79
11:24:43,41083.99,105
11:24:44,41084.00,145
11:24:44,41084.01,193
11:24:44,41084.02,229
11:24:44,41084.03,229
11:24:44,41084.04,200
11:24:44,41084.05,126
11:24:44,41084.06,22
11:24:44,41084.07,-62
11:24:44,41084.08,-84
11:24:44,41084.09,-63
11:24:44,41084.10,-42
11:24:44,41084.11,-35
11:24:44,41084.12,-37
11:24:44,41084.13,-41
11:24:44,41084.14,-44
11:24:44,41084.15,-32
11:24:44,41084.16,-11
11:24:44,41084.17,25
11:24:44,41084.18,35
11:24:44,41084.19,1
11:24:44,41084.20,-56
11:24:44,41084.21,-93
11:24:44,41084.22,-91
11:24:44,41084.23,-46
11:24:44,41084.24,37
11:24:44,41084.25,126
11:24:44,41084.26,173
11:24:44,41084.27,162
11:24:44,41084.28,137
11:24:44,41084.30,125
11:24:44,41084.31,126
11:24:44,41084.32,124
11:24:44,41084.33,109
11:24:44,41084.34,62
11:24:44,41084.34,-18
11:24:44,41084.36,-101
11:24:44,41084.36,-149
11:24:44,41084.38,-148
11:24:44,41084.38,-117
11:24:44,41084.39,-77
11:24:44,41084.40,43
11:24:44,41084.41,354
11:24:44,41084.43,666
11:24:44,41084.43,642
11:24:44,41084.45,344
11:24:44,41084.45,53
11:24:44,41084.46,-3
11:24:44,41084.47,-35
11:24:44,41084.48,-119
11:24:44,41084.49,-200
11:24:44,41084.50,-241
11:24:44,41084.52,-222
11:24:44,41084.52,-148
11:24:44,41084.53,-58
11:24:44,41084.54,-22
11:24:44,41084.55,-60
11:24:44,41084.56,-134
11:24:44,41084.57,-196
11:24:44,41084.59,-216
11:24:44,41084.59,-208
11:24:44,41084.60,-188
11:24:44,41084.61,-190
11:24:44,41084.62,-214
11:24:44,41084.63,-231
11:24:44,41084.64,-234
11:24:44,41084.65,-184
11:24:44,41084.66,-114
11:24:44,41084.67,-17
11:24:44,41084.68,89
11:24:44,41084.69,157
11:24:44,41084.70,177
11:24:44,41084.71,123
11:24:44,41084.72,74
11:24:44,41084.73,56
11:24:44,41084.74,71
11:24:44,41084.75,92
