time,,values
11:18:42,40722.79,-2
11:18:42,40722.80,-12
11:18:42,40722.81,-31
11:18:42,40722.82,-60
11:18:42,40722.83,-73
11:18:42,40722.84,-94
11:18:42,40722.85,-47
11:18:42,40722.86,221
11:18:42,40722.87,522
11:18:42,40722.88,876
11:18:42,40722.89,976
11:18:42,40722.89,950
11:18:42,40722.91,657
11:18:42,40722.91,168
11:18:42,40722.93,-211
11:18:42,40722.93,-402
11:18:42,40722.95,-366
11:18:42,40722.95,-302
11:18:42,40722.96,-268
11:18:42,40722.98,-219
11:18:42,40722.98,-183
11:18:42,40723.00,-148
11:18:43,40723.00,-123
11:18:43,40723.02,-116
11:18:43,40723.02,-102
11:18:43,40723.04,-91
11:18:43,40723.05,-81
11:18:43,40723.05,-64
11:18:43,40723.07,-51
11:18:43,40723.07,-17
11:18:43,40723.09,16
11:18:43,40723.09,57
11:18:43,40723.11,95
11:18:43,40723.11,112
11:18:43,40723.13,122
11:18:43,40723.14,106
11:18:43,40723.14,73
11:18:43,40723.16,14
11:18:43,40723.16,-61
11:18:43,40723.18,-114
11:18:43,40723.18,-156
11:18:43,40723.20,-174
11:18:43,40723.20,-174
11:18:43,40723.21,-162
11:18:43,40723.23,-137
11:18:43,40723.23,-130
11:18:43,40723.25,-125
11:18:43,40723.25,-119
11:18:43,40723.27,-115
11:18:43,40723.27,-93
11:18:43,40723.29,-85
11:18:43,40723.30,-68
11:18:43,40723.30,-68
11:18:43,40723.32,-68
11:18:43,40723.32,-61
11:18:43,40723.34,-52
11:18:43,40723.36,-47
11:18:43,40723.36,-42
11:18:43,40723.37,-35
11:18:43,40723.38,-8
11:18:43,40723.39,5
11:18:43,40723.40,5
11:18:43,40723.41,0
11:18:43,40723.42,-11
11:18:43,40723.43,10
11:18:43,40723.44,39
11:18:43,40723.45,86
11:18:43,40723.46,133
11:18:43,40723.47,148
11:18:43,40723.48,142
11:18:43,40723.49,109
11:18:43,40723.50,75
11:18:43,40723.51,53
11:18:43,40723.52,17
11:18:43,40723.53,-4
11:18:43,40723.54,-25
11:18:43,40723.55,-31
11:18:43,40723.56,-41
11:18:43,40723.57,-81
11:18:43,40723.58,-61
11:18:43,40723.59,95
11:18:43,40723.60,330
11:18:43,40723.61,684
11:18:43,40723.62,914
11:18:43,40723.63,1045
11:18:43,40723.64,845
11:18:43,40723.65,461
11:18:43,40723.66,-8
11:18:43,40723.67,-300
11:18:43,40723.68,-384
11:18:43,40723.69,-328
11:18:43,40723.70,-284
11:18:43,40723.71,-254
11:18:43,40723.72,-232
11:18:43,40723.73,-197
11:18:43,40723.74,-176
11:18:43,40723.75,-150
11:18:43,40723.76,-131
11:18:43,40723.77,-121
11:18:43,40723.78,-106
11:18:43,40723.79,-101
11:18:43,40723.80,-84
11:18:43,40723.81,-45
11:18:43,40723.82,2
11:18:43,40723.83,55
11:18:43,40723.84,74
11:18:43,40723.85,79
11:18:43,40723.86,78
11:18:43,40723.87,70
11:18:43,40723.88,46
11:18:43,40723.89,-11
11:18:43,40723.90,-81
11:18:43,40723.91,-129
11:18:43,40723.92,-153
11:18:43,40723.93,-150
11:18:43,40723.95,-161
11:18:43,40723.95,-166
11:18:43,40723.96,-158
11:18:43,40723.97,-133
11:18:43,40723.98,-100
11:18:43,40723.99,-86
11:18:44,40724.00,-94
11:18:44,40724.02,-99
11:18:44,40724.02,-106
11:18:44,40724.04,-80
11:18:44,40724.04,-62
11:18:44,40724.05,-46
11:18:44,40724.06,-45
11:18:44,40724.07,-48
11:18:44,40724.09,-40
11:18:44,40724.09,-36
11:18:44,40724.11,-35
11:18:44,40724.11,-30
11:18:44,40724.13,-28
11:18:44,40724.13,-12
11:18:44,40724.14,-9
11:18:44,40724.15,-13
11:18:44,40724.16,-18
11:18:44,40724.18,-17
11:18:44,40724.18,20
11:18:44,40724.20,63
11:18:44,40724.20,104
11:18:44,40724.21,122
11:18:44,40724.22,113
11:18:44,40724.23,88
11:18:44,40724.24,40
11:18:44,40724.25,-12
11:18:44,40724.27,-45
11:18:44,40724.27,-61
11:18:44,40724.29,-55
11:18:44,40724.29,-64
11:18:44,40724.30,-86
11:18:44,40724.31,-103
11:18:44,40724.32,-125
11:18:44,40724.34,-6
11:18:44,40724.34,329
11:18:44,40724.36,757
11:18:44,40724.36,1031
11:18:44,40724.38,977
11:18:44,40724.38,688
11:18:44,40724.39,315
11:18:44,40724.40,13
11:18:44,40724.41,-219
11:18:44,40724.43,-307
11:18:44,40724.43,-337
11:18:44,40724.44,-270
11:18:44,40724.45,-225
11:18:44,40724.46,-187
11:18:44,40724.47,-169
11:18:44,40724.48,-154
11:18:44,40724.49,-141
